Riga;Allikukivi;181;
Parnu;Tallinn;130;
Tallinn;Johvi;167;
Narva;Spb;158;
Riga;Valga;160;
Valga;Tartu;85.1;
Tartu;Johvi;129;
Johvi;Narva;49.8;
Tartu;Paide;96.9;
Paide;Tallinn;94.5;
Riga;Sigulda;52.6;
Sigulda;Viljandi;170;
Napi;Tartu;130;
Tartu;Viljandi;78.1;
Viljandi;Allikukivi;50;
Allikukivi;Reiu;37.3;
Reiu;Parnu;9.8;
Tartu;Luhamaa;108;
Luhamaa;Pskov;61.5;
Pskov;Luga;150;
Luga;Spb;150;
Valga;Allikukivi;94.6;
Allikukivi;Parnu;47.6;
Sigulda;Luhamaa;165;
Viljandi;Napi;154
