Viljandi;Rihkama;9.3
Viljandi;Tanassilma;17.1
Viljandi;Valma;25.5
Viljandi;Kanakula;34.7
Kamara;Pöögle;18.5
Abja-Paluoja;Karksi-Nuia;12.8
Suislepa;Karksi-Nuia;30.7
Õisu;Mustla;24.4
Holstre;Mustla;13.4
